Profile Link,Designation
https://www.linkedin.com/search/results/people/headless?geoUrn=%5B106383538%5D&origin=FACETED_SEARCH&keywords=director%20in%20energy,"
Director chez Suez Energy
"
https://www.linkedin.com/in/fatih-birol?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAC3VQTABcwTK61w9OFN_magDx3L8HlSM04A,"
Executive Director at International Energy Agency (IEA)
"
https://www.linkedin.com/search/results/people/headless?geoUrn=%5B106383538%5D&origin=FACETED_SEARCH&keywords=director%20in%20energy,"
Director at Dominion Energy
"
https://www.linkedin.com/in/philippedav?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAAQfHsBoWhC3fEI22EoROx2sdZzhzWYpvo,"
Managing Director & Partner at Boston Consulting Group | Technology Advantage, Energy & Utilities, Construction, Industrial Goods, Transportation & Logistics
"
https://www.linkedin.com/search/results/people/headless?geoUrn=%5B106383538%5D&origin=FACETED_SEARCH&keywords=director%20in%20energy,"
Managing Director & Senior Partner chez Boston Consulting Group | Energy & Utilities
"
https://www.linkedin.com/search/results/people/headless?geoUrn=%5B106383538%5D&origin=FACETED_SEARCH&keywords=director%20in%20energy,"
Director - EDF Local Energy Management
"
https://www.linkedin.com/search/results/people/headless?geoUrn=%5B106383538%5D&origin=FACETED_SEARCH&keywords=director%20in%20energy,"
Director chez Contact Energy Ltd
"
https://www.linkedin.com/search/results/people/headless?geoUrn=%5B106383538%5D&origin=FACETED_SEARCH&keywords=director%20in%20energy,"
Managing Director chez Pierce Energy Planning
"
https://www.linkedin.com/search/results/people/headless?geoUrn=%5B106383538%5D&origin=FACETED_SEARCH&keywords=director%20in%20energy,"
Director - M&A Energy & Renewables
"
https://www.linkedin.com/search/results/people/headless?geoUrn=%5B106383538%5D&origin=FACETED_SEARCH&keywords=director%20in%20energy,"
Director - Abyss Energy
"
https://www.linkedin.com/search/results/people/headless?geoUrn=%5B106383538%5D&origin=FACETED_SEARCH&keywords=director%20in%20energy,"
Director - Oil, Gas and Energy Industry Business Unit
"
https://www.linkedin.com/search/results/people/headless?geoUrn=%5B106383538%5D&origin=FACETED_SEARCH&keywords=director%20in%20energy,"
Director of the Jacques Delors Energy Center, Jacques Delors Institute chez Institut Jacques Delors
"
https://www.linkedin.com/search/results/people/headless?geoUrn=%5B106383538%5D&origin=FACETED_SEARCH&keywords=director%20in%20energy,"
Managing Director - M&A Energy Group at BNP Paribas
"
https://www.linkedin.com/in/alain-panhard?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAAYYkEB_SAy-DLrF9QbIt3QcY8Xhnd5LlY,"
Managing Director | Business Development | JV Partnership | Energy Gas LNG | Infrastructure | Business Turnaround | Decarbonation | Europe Americas Africa Middle-East
"
https://www.linkedin.com/in/evanlinker?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAAAXZQhoBz81QSDNdkyjd597HiqBI1GkbkXI,"
Director - Energy Projects at LafargeHolcim
"
https://www.linkedin.com/search/results/people/headless?geoUrn=%5B106383538%5D&origin=FACETED_SEARCH&keywords=director%20in%20energy,"
Managing Director
"
https://www.linkedin.com/search/results/people/headless?geoUrn=%5B106383538%5D&origin=FACETED_SEARCH&keywords=director%20in%20energy,"
Managing Director - Private Equity - Portfolio Operations
"
https://www.linkedin.com/search/results/people/headless?geoUrn=%5B106383538%5D&origin=FACETED_SEARCH&keywords=director%20in%20energy,"
Senior Director at Breakthrough Energy
"
https://www.linkedin.com/search/results/people/headless?geoUrn=%5B106383538%5D&origin=FACETED_SEARCH&keywords=director%20in%20energy,"
Director - Energy Industry Group
"
https://www.linkedin.com/search/results/people/headless?geoUrn=%5B106383538%5D&origin=FACETED_SEARCH&keywords=director%20in%20energy,"
Executive Director at International Energy Agency
"
